data,val,DailyChange,PriceChange
2013-05-29,100.54,-0.5637424587083273,234.57570715474213
2013-05-30,99.77,-0.7658643326039494,232.01331114808653
2013-05-31,98.78,-0.9922822491730932,228.7188019966722
2013-06-03,98.88,0.10123506782748759,229.05158069883527
2013-06-04,99.87,1.001213592233019,232.34608985024957
2013-06-05,101.09,1.221588064483825,236.40599001663895
2013-06-06,100.93,-0.15827480462953236,235.87354409317805
2013-06-07,101.64,0.7034578420687554,238.2362728785358
2013-06-10,101.38,-0.2558048012593517,237.3710482529118
2013-06-11,100.72,-0.6510159794831272,235.1747088186356
2013-06-12,100.89,0.16878474980142055,235.74043261231284
2013-06-13,101.26,0.36673604916246383,236.97171381031615
2013-06-14,103.33,2.044242543946262,243.8602329450915
2013-06-17,103.85,0.5032420400657989,245.59068219633943
2013-06-18,103.1,-0.7221954742416936,243.09484193011647
2013-06-19,103.78,0.6595538312318183,245.3577371048253
2013-06-20,101.4,-2.2933127770283224,237.43760399334442
2013-06-21,99.82,-1.558185404339263,232.17970049916806
2013-06-24,98.33,-1.4926868363053458,227.22129783693842
2013-06-25,99.79,1.484796094782892,232.07986688851915
2013-06-26,99.39,-0.40084176771220115,230.7487520798669
2013-06-27,100.37,0.9860146896065958,234.00998336106494
2013-06-28,100.78,0.40848859220883327,235.37437603993342
2013-07-01,100.1,-0.6747370510021944,233.1114808652246
2013-07-02,100.63,0.5294705294705215,234.87520798668885
2013-07-03,102.24,1.599920500844676,240.23294509151413
2013-07-04,102.39,0.1467136150234749,240.73211314475876
2013-07-05,103.2,0.7910928801640793,243.42762063227954
2013-07-08,103.96,0.7364341085271287,245.9567387687188
2013-07-09,104.06,0.09619084263179367,246.28951747088186
2013-07-10,104.69,0.6054199500288293,248.38602329450916
2013-07-11,104.81,0.11462412837903724,248.78535773710482
2013-07-12,104.82,0.009541074324959098,248.8186356073211
2013-07-15,105.31,0.4674680404503029,250.44925124792013
2013-07-16,105.39,0.07596619504319779,250.71547420965058
2013-07-17,105.28,-0.10437422905399396,250.34941763727124
2013-07-18,106.11,0.7883738601823786,253.11148086522462
2013-07-19,106.4,0.27330129111300394,254.07653910149753
2013-07-22,106.14,-0.244360902255647,253.21131447587356
2013-07-23,105.95,-0.17900885622762486,252.57903494176372
2013-07-24,105.44,-0.4813591316658816,250.8818635607321
2013-07-25,105.28,-0.15174506828528056,250.34941763727124
2013-07-26,105.1,-0.17097264437690995,249.7504159733777
2013-07-29,105.21,0.1046622264510022,250.11647254575706
2013-07-30,104.92,-0.27563919779487467,249.1514143094842
2013-07-31,104.97,0.04765535646207297,249.31780366056572
2013-08-01,106.1,1.0764980470610697,253.07820299500833
2013-08-02,106.65,0.5183788878416751,254.9084858569052
2013-08-05,106.43,-0.20628223159868675,254.17637271214645
2013-08-06,105.56,-0.8174386920980936,251.28119800332777
2013-08-07,104.89,-0.6347101174687397,249.0515806988353
2013-08-08,104.47,-0.4004194870817046,247.6539101497504
2013-08-09,104.94,0.4498899205513496,249.2179700499168
2013-08-12,105.27,0.3144654088050203,250.3161397670549
2013-08-13,106.75,1.4059086159399659,255.2412645590682
2013-08-14,106.69,-0.05620608899297164,255.04159733777038
2013-08-15,107.96,1.190364607742045,259.2678868552413
2013-08-16,107.8,-0.14820303816227565,258.7354409317804
2013-08-19,107.83,0.027829313543592527,258.8352745424293
2013-08-20,107.06,-0.7140869887786283,256.2728785357737
2013-08-21,106.95,-0.10274612366897307,255.90682196339435
2013-08-22,107.58,0.5890603085553892,258.00332778702165
2013-08-23,108.25,0.6227923405837554,260.2329450915141
2013-08-26,108.36,0.10161662817551598,260.5990016638935
2013-08-27,109.28,0.8490217792543442,263.6605657237937
2013-08-28,112.25,2.7177891654465602,273.54409317803663
2013-08-29,112.8,0.4899777282850737,275.3743760399334
2013-08-30,111.55,-1.1081560283687897,271.21464226289515
2013-09-02,110.32,-1.1026445540116558,267.1214642262895
2013-09-03,111.2,0.7976794778825402,270.0499168053245
2013-09-04,111.55,0.3147482014388414,271.21464226289515
2013-09-05,111.47,-0.07171671896010201,270.94841930116473
2013-09-06,112.1,0.5651744864088926,273.044925124792
2013-09-09,111.39,-0.6333630686886638,270.68219633943426
2013-09-10,109.26,-1.9122003770535967,263.5940099833611
2013-09-11,109.4,0.12813472451034258,264.0599001663894
2013-09-12,109.83,0.39305301645338186,265.4908485856905
2013-09-13,109.87,0.03641992169718389,265.62396006655575
2013-09-16,109.04,-0.7554382451988695,262.8618968386024
2013-09-17,107.64,-1.2839325018341952,258.2029950083195
2013-09-18,107.26,-0.3530286138981764,256.93843594009985
2013-09-19,108.4,1.0628379638262242,260.7321131447588
2013-09-20,107.34,-0.9778597785977894,257.20465890183027
2013-09-23,106.52,-0.7639277063536509,254.47587354409316
2013-09-24,105.8,-0.6759294029290319,252.07986688851912
2013-09-25,106.53,0.6899810964083208,254.50915141430949
2013-09-26,106.34,-0.1783535154416538,253.87687188019967
2013-09-27,106.47,0.12224938875304847,254.30948419301163
2013-09-30,105.61,-0.8077392692777297,251.4475873544093
2013-10-01,105.42,-0.1799072057570239,250.81530782029952
2013-10-02,106.08,0.626067159931698,253.01164725457573
2013-10-03,106.79,0.669306184012064,255.37437603993345
2013-10-04,106.94,0.1404625901301637,255.87354409317805
2013-10-07,106.45,-0.4582008602954879,254.24292845257904
2013-10-08,107.36,0.8548614372944963,257.27121464226286
2013-10-09,106.94,-0.39120715350223767,255.87354409317805
2013-10-10,107.69,0.7013278473910534,258.369384359401
2013-10-11,108.15,0.42715201040022244,259.9001663893511
2013-10-14,108.0,-0.1386962552011095,259.40099833610645
2013-10-15,107.64,-0.33333333333332993,258.2029950083195
2013-10-16,107.19,-0.4180602006689016,256.70549084858567
2013-10-17,107.02,-0.15859688403768724,256.1397670549085
2013-10-18,106.54,-0.44851429639318763,254.54242928452578
2013-10-21,106.76,0.2064952130655051,255.27454242928457
2013-10-22,106.77,0.00936680404644008,255.3078202995008
2013-10-23,106.34,-0.40273485061346204,253.87687188019967
2013-10-24,105.57,-0.7240925333834913,251.31447587354407
2013-10-25,104.97,-0.5683432793407217,249.31780366056572
2013-10-28,105.75,0.7430694484138245,251.91347753743761
2013-10-29,106.36,0.5768321513002439,253.94342762063226
2013-10-30,106.31,-0.04701015419330545,253.7770382695508
2013-10-31,106.75,0.41388392437211596,255.2412645590682
2013-11-01,105.53,-1.1428571428571455,251.1813643926789
2013-11-04,104.22,-1.2413531697147762,246.82196339434276
2013-11-05,103.83,-0.37420840529648336,245.5241264559068
2013-11-06,103.82,-0.009631127805065365,245.49084858569051
2013-11-07,102.64,-1.1365825467154589,241.5640599001664
2013-11-08,102.12,-0.5066250974279041,239.8336106489185
2013-11-11,103.39,1.2436349392871193,244.05990016638935
2013-11-12,103.6,0.20311442112388445,244.7587354409318
2013-11-13,103.52,-0.07722007722007485,244.4925124792013
2013-11-14,104.67,1.1108964451313819,248.31946755407657
2013-11-15,105.24,0.5445686443106945,250.216306156406
2013-11-18,105.04,-0.19004180919801605,249.55074875207987
2013-11-19,105.02,-0.019040365575029305,249.48419301164725
2013-11-20,104.58,-0.41896781565415875,248.0199667221298
2013-11-21,105.4,0.7840887358959714,250.74875207986693
2013-11-22,106.73,1.2618595825427015,255.17470881863562
2013-11-25,106.07,-0.618382835191611,252.97836938435938
2013-11-26,107.36,1.216177995663248,257.27121464226286
2013-11-27,107.14,-0.2049180327868827,256.53910149750413
2013-11-28,107.34,0.18667164457719654,257.20465890183027
2013-11-29,107.07,-0.2515371716042547,256.30615640599
2013-12-02,106.74,-0.30820958251610575,255.20798668885192
2013-12-03,108.08,1.2553869214914748,259.66722129783693
2013-12-04,108.92,0.7772020725388629,262.46256239600666
2013-12-05,108.22,-0.6426735218509005,260.13311148086524
2013-12-06,108.0,-0.20328959526889623,259.40099833610645
2013-12-09,107.72,-0.2592592592592591,258.46921797004995
2013-12-10,106.83,-0.8262161158559267,255.5074875207987
2013-12-11,106.81,-0.018721332958904213,255.4409317803661
2013-12-12,106.96,0.14043628873701142,255.94009983361065
2013-12-13,105.95,-0.9442782348541456,252.57903494176372
2013-12-16,106.92,0.9155261915998025,255.80698835274544
2013-12-17,106.57,-0.32734754956977863,254.6422628951747
2013-12-18,106.74,0.15951956460542593,255.20798668885192
2013-12-19,107.49,0.7026419336706002,257.7038269550749
2013-12-20,108.15,0.6140106056377492,259.9001663893511
2013-12-23,108.73,0.5362921867776205,261.8302828618968
2013-12-24,108.76,0.027591281155148195,261.93011647254576
2013-12-27,109.35,0.5424788525193014,263.8935108153078
2013-12-30,108.57,-0.71330589849109,261.2978369384359
2013-12-31,107.94,-0.5802707930367412,259.2013311148087
2014-01-02,106.85,-1.0098202705206671,255.57404326123128
2014-01-03,104.99,-1.7407580720636417,249.3843594009983
2014-01-06,104.33,-0.6286312982188735,247.1880199667221
2014-01-07,104.51,0.1725294737851213,247.78702163061567
2014-01-08,104.43,-0.07654769878480128,247.52079866888522
2014-01-09,104.28,-0.14363688595231405,247.02163061564062
2014-01-10,104.09,-0.18220176448023873,246.3893510815308
2014-01-13,103.93,-0.1537131328657848,245.8569051580699
2014-01-14,103.92,-0.009621860867892185,245.8236272878536
2014-01-15,104.28,0.34642032332563577,247.02163061564062
2014-01-16,104.39,0.10548523206750371,247.38768718801998
2014-01-17,103.98,-0.3927579270044945,246.02329450915144
2014-01-20,104.17,0.18272744758607296,246.65557404326125
2014-01-21,105.26,1.0463665162714797,250.28286189683863
2014-01-22,105.62,0.34201026030780124,251.48086522462566
2014-01-23,106.11,0.46392728649875536,253.11148086522462
2014-01-24,105.04,-1.0083875223824257,249.55074875207987
2014-01-27,104.62,-0.3998476770754045,248.15307820299503
2014-01-28,104.67,0.04779200917606197,248.31946755407657
2014-01-29,104.57,-0.09553835865100391,247.98668885191347
2014-01-30,105.09,0.4972745529310707,249.7171381031614
2014-01-31,104.45,-0.6090018079741188,247.5873544093178
2014-02-03,102.55,-1.819052178075642,241.26455906821965
2014-02-04,102.55,0.0,241.26455906821965
2014-02-05,102.63,0.07801072647488638,241.53078202995007
2014-02-06,103.34,0.6918055149566449,243.89351081530782
2014-02-07,104.41,1.035417069866451,247.45424292845257
2014-02-10,105.52,1.0631165597164927,251.14808652246253
2014-02-11,105.3,-0.20849128127369276,250.41597337770384
2014-02-12,105.46,0.1519468186134798,250.9484193011647
2014-02-13,105.27,-0.18016309501232008,250.3161397670549
2014-02-14,105.58,0.29448085874417274,251.34775374376042
2014-02-17,106.11,0.5019890130706584,253.11148086522462
2014-02-18,106.53,0.39581566299122795,254.50915141430949
2014-02-19,107.15,0.5819956819675287,256.5723793677205
2014-02-20,106.79,-0.3359776014932314,255.37437603993345
2014-02-21,106.68,-0.10300589942878746,255.0083194675541
2014-02-24,106.7,0.01874765654292787,255.07487520798668
2014-02-25,106.55,-0.1405810684161235,254.5757071547421
2014-02-26,106.49,-0.05631159080243808,254.37603993344428
2014-02-27,106.1,-0.3662315710395325,253.07820299500833
2014-02-28,105.92,-0.16965127238454114,252.47920133111484
2014-03-03,107.8,1.7749244712990997,258.7354409317804
2014-03-04,106.3,-1.3914656771799594,253.74376039933443
2014-03-05,105.24,-0.99717779868298,250.216306156406
2014-03-06,104.37,-0.826681870011392,247.3211314475874
2014-03-07,104.98,0.5844591357669904,249.35108153078204
2014-03-10,104.48,-0.47628119641836,247.68718801996675
2014-03-11,104.38,-0.095712098009193,247.35440931780363
2014-03-12,103.75,-0.6035639011304772,245.2579034941764
2014-03-13,103.71,-0.038554216867481284,245.12479201331115
2014-03-14,103.83,0.11570726063061532,245.5241264559068
2014-03-17,103.85,0.01926225561013073,245.59068219633943
2014-03-18,103.29,-0.5392392874337903,243.72712146422631
2014-03-19,103.16,-0.1258592312905482,243.2945091514143
2014-03-20,102.37,-0.7658006979449294,240.66555740432617
2014-03-21,103.3,0.9084692781088144,243.7603993344426
2014-03-24,103.13,-0.16456921587608697,243.19467554076536
2014-03-25,103.39,0.25210898865510867,244.05990016638935
2014-03-26,103.62,0.22245865170713586,244.82529118136443
2014-03-27,103.79,0.16406099208647884,245.3910149750416
2014-03-28,104.27,0.46247229983620297,246.98835274542427
2014-03-31,104.08,-0.1822192385153909,246.35607321131445
2014-04-01,103.25,-0.7974634896233623,243.59400998336108
2014-04-02,101.72,-1.4818401937045977,238.50249584026622
2014-04-03,101.57,-0.1474636256390105,238.00332778702162
2014-04-04,103.12,1.526041153884039,243.16139767054912
2014-04-07,102.16,-0.9309542280837912,239.9667221297837
2014-04-08,103.16,0.9788566953798039,243.2945091514143
2014-04-09,104.22,1.0275300504071438,246.82196339434276
2014-04-10,104.33,0.10554596046823406,247.1880199667221
2014-04-11,104.07,-0.24920923991181843,246.32279534109816
2014-04-14,104.81,0.711059863553376,248.78535773710482
2014-04-15,105.21,0.3816429729987414,250.11647254575706
2014-04-16,106.06,0.8079079935367384,252.94509151414312
2014-04-17,105.53,-0.49971714124080746,251.1813643926789
2014-04-21,105.34,-0.1800435895006114,250.54908485856907
2014-04-22,105.19,-0.14239605088286478,250.04991680532447
2014-04-23,104.99,-0.19013214183858373,249.3843594009983
2014-04-24,105.2,0.20001904943329762,250.08319467554077
2014-04-25,105.37,0.16159695817490327,250.648918469218
2014-04-28,105.43,0.0569422036632794,250.84858569051582
2014-04-29,104.95,-0.4552783837617369,249.25124792013312
2014-04-30,103.95,-0.9528346831824686,245.9234608985025
2014-05-01,103.77,-0.17316017316018062,245.32445923460898
2014-05-02,104.25,0.462561433940456,246.92179700499167
